2002-10-02,2008-03-08,9745
2004-06-08,2005-01-31,10825
2002-10-01,2015-07-27,41688
2003-11-15,2014-08-19,37286
2005-06-04,2006-10-01,2913
2005-08-11,2006-10-29,1144
2006-05-22,2009-01-11,36088
2006-04-16,2006-06-14,84
2006-07-11,2006-07-11,44
2006-06-23,2006-07-29,361
2006-07-21,2006-07-31,354
2006-07-27,2006-07-31,45
2006-08-02,2006-08-08,26
2006-02-06,2015-01-28,215408
2006-09-15,2007-04-12,6417
2006-09-16,2006-09-18,67
2008-04-03,2011-04-18,28327
2009-11-16,2012-08-14,5044
2006-07-21,2007-05-03,5008
2010-08-25,2016-06-23,23905
2001-11-08,2007-01-28,37208
2007-05-16,2007-05-16,35
2017-02-17,2017-06-03,1333
2008-02-17,2008-06-10,2126
2009-01-30,2009-09-21,28656
2009-07-24,2009-07-30,41
2013-08-21,2013-08-24,336
2010-12-06,2019-11-08,33148
2012-12-15,2014-06-24,39502
2012-05-12,2017-01-03,68459
2018-08-28,2018-10-02,111
2019-01-30,2019-02-07,72
2019-03-08,2019-03-13,46
2019-12-31,2020-02-03,322
2004-10-12,2006-07-14,11241
2007-01-10,2009-04-08,11868
2006-02-08,2013-03-26,49089
2008-02-23,2009-11-21,2141
2005-06-09,2013-06-19,68763
2008-06-19,2015-05-24,100907
2010-03-31,2017-07-17,50789
2006-05-04,2007-05-30,1468
2005-12-03,2007-05-19,2040
2006-01-21,2007-05-29,7737
2009-05-20,2013-08-01,40240
2006-01-07,2007-12-31,5370
2006-05-22,2008-04-25,69
2008-08-24,2008-08-24,7
2009-09-11,2010-02-12,1823
2010-08-27,2010-08-27,47
2011-01-21,2011-01-21,78
2013-08-23,2014-06-19,4100
2005-10-24,2019-12-02,183339
2015-02-08,2015-02-08,225
2014-10-20,2015-04-25,2687
2018-04-04,2018-04-04,139
2006-07-02,2007-08-29,3125
2006-10-28,2009-05-01,286
2007-03-28,2007-04-11,2435
2006-09-19,2008-02-29,4374
