2002-01-27,2002-06-16,28050
2005-05-31,2020-03-25,1150368
2010-06-24,2020-03-29,2036642
2014-09-06,2016-05-02,109029
2006-02-08,2017-07-08,111235
2003-12-07,2003-12-09,3930
2004-07-08,2017-07-12,29361
2003-10-09,2007-11-21,93737
2004-08-05,2008-07-11,66984
2004-03-31,2005-01-08,510
2005-07-13,2015-10-20,162327
2005-09-04,2006-07-28,280740
2005-11-08,2005-12-18,14899
2005-12-30,2009-03-21,560068
2004-12-23,2006-03-16,13429
2004-07-30,2011-03-30,3116
2006-07-14,2006-12-31,33326
2006-03-10,2006-07-22,24523
2006-06-13,2007-03-20,212303
2006-03-06,2011-04-14,3242078
2006-12-16,2007-10-26,20388
2006-03-18,2008-02-26,283847
2008-05-20,2008-05-20,18304
2006-04-13,2019-03-17,6354433
2006-10-15,2007-07-27,152973
2007-10-07,2007-10-07,4521
2006-09-11,2008-05-14,257649
2007-08-13,2010-11-28,1466520
2007-04-25,2007-10-15,92411
2008-06-15,2018-01-23,598326
2006-08-23,2007-08-11,134934
2004-11-07,2006-11-28,98179
2008-07-30,2008-07-30,93505
2007-06-23,2007-06-23,2234
2007-07-26,2010-10-14,368697
2006-12-27,2012-09-11,429407
2009-06-25,2011-12-22,130554
2010-11-03,2018-03-02,5196304
2008-07-12,2017-07-22,4343974
2006-08-31,2012-03-22,160328
2013-04-02,2013-04-02,73099
2011-10-11,2017-06-10,504179
2011-08-08,2012-12-29,682106
2009-01-21,2020-04-02,1617167
2010-06-18,2010-06-18,10968
2008-11-02,2020-04-02,988503
2007-03-06,2007-03-10,7460
2007-03-26,2007-05-08,19214
2007-01-03,2007-01-03,36590
2015-05-16,2016-07-02,1487128
2015-11-23,2020-04-01,121304
2014-12-13,2016-11-22,164482
2017-05-27,2017-07-02,264976
2018-05-16,2020-03-04,77449
2007-08-10,2012-10-09,300775
2008-10-25,2020-03-31,566608
2008-09-01,2020-04-02,4845089
2008-02-03,2009-02-23,201606
2008-04-01,2009-03-13,168970
2008-04-08,2008-08-13,43905
2009-01-08,2009-03-01,12026
2009-01-09,2009-01-09,16928
2008-03-09,2008-03-09,55943
2008-12-20,2008-12-21,2103
2009-02-10,2009-07-04,29496
2009-02-06,2009-02-06,41813
2009-05-27,2009-08-10,121422
2006-07-20,2010-12-15,462190
2009-02-01,2010-06-07,253113
2007-10-19,2010-05-24,187362
2009-11-07,2010-11-16,99285
2010-03-04,2012-07-15,830481
2009-12-26,2013-03-07,305796
2007-04-15,2010-09-12,548080
2008-09-16,2010-05-31,54346
2010-12-23,2010-12-23,4373
2010-07-27,2010-10-13,51688
2010-04-22,2012-02-09,899731
2010-12-02,2012-08-07,52076
2011-12-10,2011-12-29,97778
2010-03-24,2010-03-24,42104
2008-07-04,2013-04-13,2712486
2011-05-05,2016-09-03,920088
2011-06-17,2014-11-03,24209
2014-01-16,2019-09-29,1557004
2014-06-12,2019-11-24,6633
2016-08-12,2019-02-22,949878
2016-07-13,2019-12-26,3750598
2017-08-30,2018-07-21,1106106
2006-05-27,2008-05-15,614534
2007-08-02,2020-04-02,2211669
2005-04-30,2009-03-28,217164
2005-10-28,2006-01-26,1267
2005-10-07,2006-04-09,38254
2008-02-26,2011-12-16,228300
2006-06-12,2009-06-03,46757
2007-10-11,2007-10-11,95981
2007-06-11,2008-07-19,36990
2008-09-04,2012-11-14,138910
2004-06-13,2009-05-16,377053
2008-12-09,2010-04-12,144085
2008-06-06,2011-07-29,763865
2011-05-07,2011-05-07,54515
2008-07-28,2010-03-29,195057
2009-02-17,2013-05-22,20155
2012-01-20,2012-01-20,119636
2007-02-07,2020-02-19,133438
2011-11-19,2015-11-29,133410
2013-03-25,2017-11-23,884900
2012-10-06,2015-12-08,470511
2010-05-20,2020-04-01,912502
2013-05-03,2018-01-12,432128
2016-03-17,2020-03-25,814706
2005-11-19,2006-02-03,27285
2006-12-18,2009-08-12,834
2009-12-18,2014-04-19,1511658
2011-07-22,2020-03-21,1132951
2014-05-11,2017-03-25,66578
2017-09-29,2017-11-15,144237
2018-06-18,2018-06-18,38690
2004-10-31,2008-07-13,13908
2006-06-03,2006-06-03,5433
2005-11-07,2005-11-15,2278
2006-01-06,2006-03-10,10691
2006-07-15,2007-03-16,72020
2006-02-09,2010-01-17,43883
2006-04-05,2019-01-13,114123
2007-07-08,2013-04-22,84947
2007-06-02,2008-01-28,23656
2007-06-10,2009-11-29,48183
2007-05-08,2012-05-19,230034
2009-01-10,2010-03-01,12067
2006-08-23,2019-06-10,26098
2009-03-08,2012-07-27,70579
2009-05-19,2012-01-07,120473
2011-09-13,2020-03-15,57906
2005-07-16,2006-06-03,16104
2007-10-12,2007-10-12,12780
2008-04-02,2008-04-02,40735
2011-06-24,2011-08-17,54963
2009-04-22,2009-09-16,96848
2008-07-23,2008-11-13,62495
2002-12-14,2004-12-23,148447
2006-08-29,2006-11-22,78624
2005-10-31,2006-11-08,323686
2008-04-17,2008-04-17,25849
2010-09-19,2010-12-02,127820
2008-12-16,2008-12-16,65439
2006-01-16,2020-04-01,50002
2016-03-24,2017-04-14,319340
2004-07-16,2005-11-08,978
2005-04-29,2016-11-03,304557
2005-05-24,2008-09-23,44441
2006-04-19,2006-04-19,9435
2007-05-01,2007-05-01,16167
2007-06-26,2007-07-10,8904
2008-06-10,2008-06-20,254793
2013-09-01,2016-11-22,108565
2005-09-25,2005-09-25,4851
2005-10-05,2006-03-18,14741
2006-04-14,2007-06-23,13036
2006-12-16,2006-12-16,38022
2009-05-07,2009-05-07,2722
2009-06-11,2009-06-12,44109
2019-01-20,2019-10-20,92336
2005-09-07,2005-12-11,30270
2009-11-20,2009-11-20,307537
2009-06-21,2009-08-16,60486
2018-04-01,2018-07-30,173255
2007-02-08,2007-10-01,18962
2012-03-09,2012-12-26,89092
2012-09-13,2012-09-13,42450
2016-12-29,2020-03-18,321688
2007-03-12,2007-04-05,20018
2007-12-19,2009-02-21,32995
2010-08-14,2012-05-20,38799
2006-05-31,2006-05-31,14180
2012-11-10,2012-11-10,244223
2005-10-24,2005-11-04,25856
2006-01-27,2006-03-12,21528
2007-06-30,2007-12-03,26032
2009-06-07,2010-05-27,4385
2005-04-27,2005-05-01,7073
2006-03-30,2011-07-10,19213
2008-02-12,2008-02-12,24308
2012-11-10,2012-11-10,16465
2006-08-20,2008-05-20,28038
2008-08-08,2008-09-28,27592
2006-08-02,2008-09-29,349130
2007-02-07,2012-04-09,38487
2007-06-10,2007-12-31,16820
2007-11-05,2009-03-06,37928
2011-05-29,2011-06-17,25818
2008-07-20,2009-04-17,40049
2007-11-17,2011-02-06,240867
2005-04-12,2006-04-13,12843
2009-02-06,2009-09-19,391771
2007-06-03,2007-10-05,20067
2007-01-17,2013-01-31,77153
2007-04-26,2007-05-22,5560
2006-08-19,2006-09-27,12598
2015-10-28,2017-11-22,345097
2008-01-04,2009-07-04,60687
2009-01-07,2009-03-20,17511
2009-01-31,2009-01-31,5559
2012-09-22,2012-09-23,101005
