2005-10-20,2020-03-31,33253
2006-01-23,2015-08-16,24383
2005-10-20,2018-05-01,97158
2008-06-22,2020-03-30,69784
2009-02-27,2020-04-02,174825
2015-01-06,2020-03-16,25162
2001-09-20,2018-01-09,22663
2012-02-14,2019-11-06,1261026
2005-04-01,2020-03-30,217888
2001-03-31,2019-11-30,19918
2005-07-04,2019-01-18,34202
2002-02-18,2014-12-14,9591
2002-01-26,2013-02-19,9747
2001-07-28,2019-08-14,6931
2001-11-29,2019-12-09,51795
2002-03-30,2020-03-28,154367
2002-07-27,2018-07-10,19120
2001-11-14,2019-12-13,19305
2002-10-11,2018-05-21,7879
2002-09-03,2020-01-21,96150
2002-03-23,2019-12-24,5035
2002-11-29,2014-08-02,23130
2003-07-21,2014-11-21,24533
2003-11-05,2018-08-01,14292
2003-12-21,2019-10-23,5677
2001-12-11,2016-08-19,104289
2003-12-07,2020-03-28,39989
2003-09-15,2019-02-24,38864
2001-08-11,2019-12-17,27831
2004-01-24,2014-01-10,3182
2002-04-24,2020-01-31,8687
2003-10-28,2019-12-28,21906
2004-03-30,2019-12-29,22926
2004-03-23,2017-09-28,21013
2003-11-25,2012-03-13,25697
2004-02-10,2019-12-13,88772
2003-07-14,2020-04-01,45235
2003-09-15,2020-01-22,51394
2003-01-10,2020-04-02,212434
2004-02-17,2013-10-18,14327
2004-05-16,2020-04-02,135203
2004-08-12,2008-09-26,8630
2004-10-12,2012-12-23,24335
2004-05-02,2020-03-30,1524232
2003-11-14,2020-01-11,160600
2003-11-22,2020-02-25,85153
2004-05-23,2011-02-08,2706
2003-12-04,2018-11-30,25453
2004-02-02,2016-06-12,5370
2004-04-09,2020-03-18,104994
2004-04-18,2011-05-06,8201
2004-12-10,2017-05-09,28189
2003-12-31,2019-12-27,31610
2004-09-30,2020-03-29,43584
2003-12-08,2019-09-04,28989
2004-05-19,2016-12-14,31194
2003-08-09,2019-12-08,12415
2004-12-20,2019-05-05,12523
2004-11-23,2020-03-31,63264
2003-01-30,2019-04-02,103864
2004-08-02,2020-03-19,42319
2003-06-11,2017-01-20,29193
2003-06-24,2011-05-07,11498
2005-01-06,2019-09-17,47975
2003-11-09,2020-03-03,42829
2002-12-11,2014-02-02,7166
2003-04-14,2020-03-06,45363
2003-09-26,2020-01-21,17482
2004-11-26,2018-03-29,79747
2005-07-01,2014-08-30,6366
2005-03-30,2013-11-03,29864
2004-08-25,2016-06-04,10721
2003-07-14,2020-01-30,22906
2004-04-06,2020-03-11,128069
2003-01-07,2019-06-29,48637
2004-11-20,2009-10-24,10401
2004-10-15,2020-03-20,30900
2004-12-09,2019-07-07,8552
2005-06-22,2020-03-19,44609
2005-07-20,2014-12-10,12438
2005-03-09,2013-12-18,24166
2004-08-09,2020-03-31,140853
2005-01-19,2018-08-05,22251
2005-02-28,2020-04-01,76884
2004-08-17,2016-03-24,8386
2005-02-10,2020-04-01,97700
2003-02-21,2009-10-16,1112
2005-08-16,2013-10-29,32426
2004-04-06,2020-02-24,86663
2004-10-27,2019-02-18,35374
2005-07-20,2010-01-27,23249
2004-04-28,2019-10-26,12963
2004-12-20,2019-03-27,23940
2005-08-18,2020-04-02,231498
2004-08-25,2009-08-26,4683
2005-11-04,2020-03-25,57340
2005-10-04,2018-03-20,898
2005-03-04,2019-10-27,31733
2005-07-31,2020-03-12,30506
2003-11-29,2018-02-04,37714
2005-01-06,2019-06-16,4785
2004-11-10,2019-12-14,46436
2004-02-10,2011-01-18,19909
2005-07-08,2019-01-02,41387
2006-01-01,2009-11-27,5060
2005-11-17,2019-08-15,5808
2005-04-07,2013-06-23,28660
2004-12-11,2019-04-02,12084
2005-05-03,2018-10-11,40156
2005-05-21,2019-07-01,7626
2003-01-24,2018-12-15,4070
2001-06-06,2020-03-27,61427
2004-09-04,2020-03-19,64915
2002-07-22,2019-12-13,29044
2003-08-01,2015-02-23,54793
2005-11-22,2017-08-24,16076
2003-11-09,2020-01-17,85977
2004-01-27,2019-08-09,17221
2003-05-28,2015-10-31,16900
2005-05-02,2015-06-11,63635
2004-06-18,2020-03-10,137289
2004-08-21,2020-03-24,56303
2004-11-30,2015-01-16,18647
2005-12-22,2020-02-15,47909
