WP 1.0 bot,6589889
Cydebot,6336698
ClueBot NG,5196209
AnomieBOT,4361942
SmackBot,3171007
Yobot,2823974
Addbot,2712291
InternetArchiveBot,2683840
EmausBot,1961489
Monkbot,1556995
AAlertBot,1555931
RjwilmsiBot,1511640
KasparBot,1487075
Xqbot,1482497
ClueBot,1464818
InceptionBot,1368367
MediaWiki message delivery,1287683
COIBot,1250043
RussBot,1119886
KolbertBot,1106100
Cyberbot I,1063132
AvicBot,1047660
The Anomebot2,930853
GreenC bot,922837
DeltaQuadBot,901683
Luckas-bot,899725
Legobot,873298
SporkBot,871187
Lowercase sigmabot III,865857
Bender the Bot,861058
FrescoBot,820780
BG19bot,819068
SineBot,796817
JJMC89 bot,770482
Lightbot,763848
AlexNewArtBot,725615
ClueBot III,696946
ZéroBot,682102
XLinkBot,598314
MiszaBot III,565801
Citation bot,565488
RMCD bot,561055
OrphanBot,560033
TXiKiBoT,548073
ListeriaBot,504790
VeblenBot,501236
Reports bot,492131
DPL bot,470498
Helpful Pixie Bot,470347
BattyBot,466511
DatBot,462572
Thijs!bot,462174
HBC AIV helperbot5,452104
VolkovBot,429397
TedderBot,419847
Fbot,419194
D6,371913
SieBot,368519
BOTijo,361813
BetacommandBot,360815
Alaibot,349055
BD2412bot,342849
EdwardsBot,339000
Bluebot,322505
JL-Bot,321751
HasteurBot,316245
Full-date unlinking bot,307536
Mathbot,303103
ImageRemovalBot,300759
MiszaBot II,297723
HostBot,295412
DASHBot,291068
CmdrObot,283821
PrimeBOT,282302
YurikBot,280697
RonBot,277564
Magic links bot,264974
VoABot II,257578
Cyberbot II,257253
Eubot,254791
HBC AIV helperbot7,252997
ArthurBot,252826
VIAFbot,244222
SoxBot,239540
BU RoBOT,230312
BotMultichill,229975
Escarbot,228295
FlaBot,217135
Erik9bot,215397
AntiVandalBot,212247
Ops Monitor (WMF),207617
Theo's Little Bot,205139
DumZiBoT,200641
Scsbot,197917
JJMC89 bot III,196401
B-bot,195725
Amalthea (bot),192611
Alexbot,187239
Xenobot,184254
DeprecatedFixerBot,173232
RFC bot,173069
MystBot,171038
Kbdankbot,168901
EarwigBot,168407
YFdyh-bot,165506
Kotbot,164920
Dexbot,163965
Chobot,162301
BracketBot,161438
JAnDbot,160307
MartinBot,152947
ImageTaggingBot,145519
Rambot,144520
GrouchoBot,144081
HBC AIV helperbot3,139771
WikitanvirBot,139624
Zorrobot,138908
Filedelinkerbot,138758
RM bot,137364
Polbot,136559
DYKUpdateBot,133929
DumbBOT,132157
CorenSearchBot,131563
Detroiterbot,130558
RedBot,130552
CheMoBot,128221
H3llBot,127813
Maintenance script,126995
BJBot,125970
Hazard-Bot,122401
DrilBot,121419
Citation bot 1,120407
MetsBot,119791
LaaknorBot,119635
MusikBot,116282
JarBot,115186
NoomBot,114280
Tom.Bot,114263
NihlusBOT,114119
STBotI,113443
Hmainsbot1,112923
SQLBot,108854
ArmbrustBot,108560
???? robot,106939
Acebot,103521
Makecat-bot,100661
LucienBOT,99282
Pearle,97977
ChuispastonBot,97776
PseudoBot,96667
BryanBot,96255
Rei-bot,95979
BernsteinBot,94611
Robbot,93522
Numbo3-bot,93479
Invadibot,93009
KLBot2,92856
AlleborgoBot,92406
DFBot,89740
DarknessBot,89191
Snotbot,89089
OKBot,84922
DYKHousekeepingBot,84080
Bot1058,80038
HBC Archive Indexerbot,78638
RobotG,78621
JCW-CleanerBot,77385
Tawkerbot,77139
Ganeshbot,76068
CactusBot,75979
Mr.Z-bot,74510
DannyS712 bot,74151
AvocatoBot,73098
SuggestBot,72796
AdminStatsBot,71354
BrownBot,71235
DSisyphBot,70957
RibotBOT,70576
MiszaBot,69401
GA bot,67250
CanisRufus,66820
Josvebot,66541
HBC AIV helperbot,66152
FairuseBot,65805
Ptbotgourou,65438
Lowercase sigmabot II,65070
Ahechtbot,64768
ArticleAlertbot,63407
Alphachimpbot,62805
HotArticlesBot,61509
MastiBot,60484
LivingBot,59760
VoxelBot,59557
Wikinews Importer Bot,59424
Redirect fixer,58905
The wubbot,58818
CitationCleanerBot,57513
MalafayaBot,55942
TuHan-Bot,55605
Amirobot,54960
FoxBot,54514
Chris G Bot 3,54371
Idioma-bot,54344
Erwin85Bot,54341
DragonBot,54274
EnterpriseyBot,53976
FastilyBot,53459
PotatoBot,52467
HRoestBot,52072
KamikazeBot,51685
Uncle G's major work 'bot,51640
JackieBot,51536
Ralbot,51287
Werdnabot,51174
STBot,49406
Sethbot,48085
MadmanBot,47547
????????,47078
Drinibot,46719
Thehelpfulbot,46439
TheSandBot,45782
Shadowbot3,45319
Rezabot,45308
PixelBot,44723
Svenbot,44576
Gdrbot,44420
ReferenceBot,44295
HBC AIV helperbot11,44166
DefaultsortBot,44105
DOI bot,43894
SashatoBot,43877
TokenzeroBot,43763
Maelgwnbot,43238
TobeBot,42786
JYBot,42449
MartinBotIII,42232
MelonBot,42132
Rubinbot,42103
DyceBot,42042
SassoBot,41812
GimmeBot,41469
SilvonenBot,40734
ClueBot II,40148
718 Bot,39959
Qbugbot,39857
WOSlinkerBot,39450
Obersachsebot,39121
MGA73bot,38727
Bibcode Bot,38688
Muro Bot,38412
TPBot,38379
HBC AIV helperbot2,38346
Eskimbot,38233
DinoBot2,38152
ProteinBoxBot,38128
STBotD,38020
D'ohBot,37306
DHN-bot~enwiki,36987
Petan-Bot,36666
AntiSpamBot,36589
CapitalBot,36387
AP.BOT,36168
OgreBot,36026
J Milburn Bot,35652
KevinBot,35579
Ripchip Bot,34717
Sandbot,34647
Rick Bot,34202
OAbot,34129
PipepBot,33963
Stefan2bot,33789
MarshBot,33155
WinBot,33146
BOTarate,32971
BHGbot,32350
SoxBot V,32060
HagermanBot,31926
ChzzBot II,31738
FeedBot,31614
One bot,31560
SoxBot IV,31357
YiFeiBot,30907
ArticlesForCreationBot,30522
HBC NameWatcherBot,30390
Curpsbot-unicodify,30261
SPCUClerkbot,29691
SoxBot III,29492
MifterBot I,29285
JBradley Bot,29088
BogBot,28854
TjBot,28444
Guanabot,28329
WikiCleanerBot,27941
CSDWarnBot,27851
TaBOT-zerem,27587
SteveBot,27479
Scepbot,27425
Commander Keane bot,27269
Mjbmrbot,26672
KingpinBot,26371
AMbot,26027
Android Mouse Bot 2,25915
LyricsBot,25870
Whobot,25854
Broadbot,25848
MerlIwBot,25816
Fluxbot,25777
Sambot,25616
MifterBot,25588
A4bot,25387
Chartbot,25352
William Avery Bot,25308
Reedy Bot,25246
Conversion script,25082
Dinamik-bot,24839
DASHBotAV,24695
JoeBot,24520
RonaldBot,24323
Phe-bot,24307
KrimpBot,24088
WildBot,23658
Lowercase sigmabot,23536
SharedIPArchiveBot,23408
SDPatrolBot,23309
JhsBot,23036
Tangobot,22996
ZackBot,22781
AWeenieBot,22717
ShepBot,22563
MPUploadBot,22511
IznoBot,22509
HBC AIV helperbot4,22500
OverlordQBot,22231
Staeckerbot,22229
WikiStatsBOT,22208
Synthebot,21831
NekoDaemon,21524
AndersBot,21439
RoboMaxCyberSem,21073
SatyrBot,20850
BOT-Superzerocool,20386
CarsracBot,20150
BotanyBot,19973
WelcomerBot,19849
VoABot,19807
EranBot,19702
Vagobot,19199
EmxBot,19195
Zwobot,19085
BenzolBot,18851
WugBot,18843
KarlsenBot,18799
JaGaBot,18755
Gnome (Bot),18452
Vina-iwbot~enwiki,18380
Pegasusbot,18366
AlnoktaBOT,18303
